,0
2020-03-02,202708.35
2020-02-28,203332.5
2020-02-27,203672.03
2020-02-26,203677.32
2020-02-25,204566.1
2020-02-21,206105.05
2020-02-20,206102.22
2020-02-19,206359.65
2020-02-18,206136.83
2020-02-17,206161.22
2020-02-14,206509.28
2020-02-13,206530.08
2020-02-12,206084.29
2020-02-11,206223.0
2020-02-10,206751.49
2020-02-07,206982.08
2020-02-06,207043.31
2020-02-05,207109.54
2020-02-04,206813.54
2020-02-03,206696.01
2020-01-31,204352.23
2020-01-30,204313.22
2020-01-29,204324.96
2020-01-28,205126.87
2020-01-27,205147.81
2020-01-24,205084.89
2020-01-23,205088.63
2020-01-22,206248.27
2020-01-21,216251.42
2020-01-20,206228.26
2020-01-17,206574.36
2020-01-16,206437.2
2020-01-15,206839.33
2020-01-14,207929.82
2020-01-13,209183.92
2020-01-10,209013.77
2020-01-09,209002.98
2020-01-08,209002.98
2020-01-06,209002.98
2020-01-03,209002.98
2019-12-31,209304.87
2019-12-30,209720.61
2019-12-27,209088.72
2019-12-26,209401.12
2019-12-25,213653.16
2019-12-24,213786.78
2019-12-23,213450.77
2019-12-20,213523.94
2019-12-19,213577.95
2019-12-18,215211.7
2019-12-17,217762.68
2019-12-16,220756.11
2019-12-13,221064.66
2019-12-12,221097.75
2019-12-11,221364.48
2019-12-10,221673.53
2019-12-09,221762.8
2019-12-06,222699.54
2019-12-05,222740.28
2019-12-04,226284.35
2019-12-03,222782.76
2019-12-02,226490.54
2019-11-29,231298.49
2019-11-28,231589.16
2019-11-27,232458.62
2019-11-26,232659.85
2019-11-25,221036.01
2019-11-22,220628.45
2019-11-21,220672.78
2019-11-20,220621.52
2019-11-19,220660.18
2019-11-18,220807.88
2019-11-15,221209.56
2019-11-14,221027.02
2019-11-13,221083.15
2019-11-12,220795.61
2019-11-11,235571.58
2019-11-08,221497.29
2019-11-07,222652.32
2019-11-06,222751.65
2019-11-05,222842.34
2019-11-01,224084.95
2019-10-31,222667.45
2019-10-30,222848.72
2019-10-29,223265.15
2019-10-28,223254.22
2019-10-25,223060.87
2019-10-24,222870.94
2019-10-23,222196.5
2019-10-22,229099.85
2019-10-21,228720.81
2019-10-18,229635.08
2019-10-17,229335.33
2019-10-16,230945.7
2019-10-15,231092.92
2019-10-14,231207.19
2019-10-11,230981.42
2019-10-10,231106.85
2019-10-09,231492.35
2019-10-08,231477.53
2019-10-07,231546.71
2019-10-04,230997.89
2019-10-03,231238.84
2019-10-02,231228.34
2019-10-01,231140.82
2019-09-30,230385.97
2019-09-27,230833.02
2019-09-26,234675.62
2019-09-25,231045.16
2019-09-24,232105.9
2019-09-23,231837.86
2019-09-20,231635.16
2019-09-19,232536.45
2019-09-18,232481.23
2019-09-17,232417.18
2019-09-16,242402.27
2019-09-13,235905.03
2019-09-12,243022.04
2019-09-11,239262.1
2019-09-10,233397.15
2019-09-09,233482.25
2019-09-06,233543.77
2019-09-05,233686.34
2019-09-04,233509.14
2019-09-03,233645.81
2019-09-02,233460.36
2019-08-30,233523.81
2019-08-29,233950.21
2019-08-28,234040.04
2019-08-27,241182.27
2019-08-26,233839.12
2019-08-23,235234.66
2019-08-22,235164.32
2019-08-21,235176.92
2019-08-20,235230.62
2019-08-19,235153.06
2019-08-16,234732.07
2019-08-15,234783.33
2019-08-14,234570.81
2019-08-13,234654.1
2019-08-12,234673.09
2019-08-09,234745.72
2019-08-08,235360.42
2019-08-07,235857.14
2019-08-06,236960.09
2019-08-05,237071.87
2019-08-02,237967.38
2019-08-01,238136.28
2019-07-31,236937.05
2019-07-30,237000.79
2019-07-29,237008.27
2019-07-26,237049.2
2019-07-25,237209.43
2019-07-24,237299.97
2019-07-23,237469.18
2019-07-22,237566.76
2019-07-19,237332.08
2019-07-18,237387.63
2019-07-17,237438.11
2019-07-16,237126.26
2019-07-15,237964.6
2019-07-12,237830.77
2019-07-11,240340.89
2019-07-10,240263.83
2019-07-09,239748.59
2019-07-08,239907.88
2019-07-05,240402.34
2019-07-04,240469.19
2019-07-03,241533.67
2019-07-02,241726.22
2019-07-01,250114.99
2019-06-28,250283.84
2019-06-27,250317.1
2019-06-26,250613.65
2019-06-25,250660.93
2019-06-24,250316.77
2019-06-21,249805.98
2019-06-20,250467.43
2019-06-19,250524.65
2019-06-18,250437.38
2019-06-17,250043.93
2019-06-14,250254.86
2019-06-13,250489.95
2019-06-11,250495.88
2019-06-10,250700.2
2019-06-07,250859.24
2019-06-06,250843.5
2019-06-05,251298.63
2019-06-04,251300.96
2019-06-03,252357.17
2019-05-31,250596.48
2019-05-30,251012.0
2019-05-29,262046.79
2019-05-28,252074.77
2019-05-27,252051.54
2019-05-24,252710.64
2019-05-23,252303.53
2019-05-22,252874.03
2019-05-21,253231.09
2019-05-20,253203.59
2019-05-17,253127.57
2019-05-16,252929.38
2019-05-15,253238.1
2019-05-14,254461.66
2019-05-13,255487.58
2019-05-08,255447.53
2019-05-07,256324.13
2019-05-06,259619.32
2019-04-30,263780.52
2019-04-29,256665.05
2019-04-26,256763.54
2019-04-25,256750.01
